"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1798288795017912393","Wed Jun 05 22:53:20 +0000 2024","0","@prastow Beresin dulu bea cukai kalian....","1798488301688758581","","prastow","in","","0","0","0","https://x.com/jangjiansing/status/1798488301688758581","1603554694944522240","jangjiansing"
"1797169456432783740","Wed Jun 05 22:48:41 +0000 2024","0","@dhemit_is_back Gimanapun Bea Cukai harus terus disupport sebagai garda terdepan pabean Indonesia.","1798487132794949683","","dhemit_is_back","in","","0","0","0","https://x.com/alfeandraputra_/status/1798487132794949683","1728958777679077376","alfeandraputra_"
"1798281843697242356","Wed Jun 05 22:47:48 +0000 2024","0","@RadioElshinta Semoga bisa segera selesai dan Bea Cukai tetap menjalankan aturan dengan baik.","1798486911574827159","","RadioElshinta","in","","0","0","0","https://x.com/alfeandraputra_/status/1798486911574827159","1728958777679077376","alfeandraputra_"
"1798281843697242356","Wed Jun 05 22:46:34 +0000 2024","0","@RadioElshinta Bea Cukai hanya menjalankan aturan jika ada kekeliruan semoga segera diselesaikan dengan baik. Bravo Bea Cukai!","1798486600839754115","","RadioElshinta","in","","0","0","0","https://x.com/fahrialfariz_12/status/1798486600839754115","1526980312416518144","fahrialfariz_12"
"1798486292252226035","Wed Jun 05 22:45:20 +0000 2024","0","Wanita ini beli balsem dari Thailand Rp10 ribu tapi diubah kursnya oleh petugas Bea Cukai jadi Rp280 ribu kok bisa? https://t.co/cuID9M9mVA","1798486292252226035","","","in","","0","0","0","https://x.com/bl4ck74ck/status/1798486292252226035","1466053823550656514","bl4ck74ck"
"1798476920704974862","Wed Jun 05 22:08:06 +0000 2024","0","moots mau nanya dong semisal udah keluar bea cukai ya itu nanti dikemanain lagi emangnya? mksd nya masuk wh lagi atau gimana? yang tau tolong jawab plisss","1798476920704974862","","","in","say the name 17","0","3","0","https://x.com/blueveyn/status/1798476920704974862","1507255418057240580","blueveyn"
"1798464814160986306","Wed Jun 05 21:20:00 +0000 2024","3","12.000 kiriman paket Pekerja Migran Indonesia tertahan di gudang bea cukai https://t.co/749OLfliGc","1798464814160986306","","","in","","0","0","1","https://x.com/RadioElshinta/status/1798464814160986306","121640063","RadioElshinta"
"1798164542557769857","Wed Jun 05 20:43:20 +0000 2024","3","@shxtgov @rifrahmaan @idextratime Dengan opini ini saya sangat setuju dengan tapera dan pajak kalo bisa 40% buat pengusaha lanjutin aja semua ga perlu ada perubahan beacukai mau apapun ya itu tugas mereka teruskan jika ada lowongan jangan kasih k orang lain mending buat anak ponakan dan keluarga","1798455587010998419","","shxtgov","in","","0","3","0","https://x.com/Jafar_julian/status/1798455587010998419","1576283428999532544","Jafar_julian"
"1798322153886281979","Wed Jun 05 19:38:42 +0000 2024","0","@TirtoID Situ ngurus bea cukai aja belum bener.","1798439324343763086","","TirtoID","in","","0","0","0","https://x.com/zacksuperstar/status/1798439324343763086","1390055649849929732","zacksuperstar"
"1798434566379831338","Wed Jun 05 19:19:48 +0000 2024","0","Sembako ilegal ini yg bikin harga² naik dan menyengsarakan rakyat. Bravo Bea Cukai! #beacukailebihbaik #beacukaiberintegritas #beacukaihebat #beacukaikerjatuntas #beacukaijalankantugas","1798434566379831338","","","in","","0","0","0","https://x.com/alfeandraputra_/status/1798434566379831338","1728958777679077376","alfeandraputra_"
