,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/vyeeeeindaeyo/status/1800006307837247996#m,walah ternyata modus bule deketin orang lewat virtual tuh bener adanya ya(?) baru nonton di tt TKW Hongkong 36jt hangus gitu aj karena katanya bule Korea ngasih gift dan ibuk 45th ini harus bayar di beacukai sebesar 36jt😭😭😭  dr penjelasannya karena bule tsb mencintai dgn tulus,vyeeee💧🔶🔄❌,0,0,0,0
1,https://twitter.com/goldenzlock_/status/1800005939594199314#m,3 BULAN: KEMENPERIN: BEACUKAI:  PENGERJAAN SANGAT FATS DAN BERGARANSI #zonauang,UNBLOK IMEI TERMURAH.PAY AFTER.|BY GOLDENz,2,0,0,0
2,https://twitter.com/beacukaiRI/status/1798942965303300575#m,Bea Cukai melalui @BCJatengDIY & @beacukaitemas bekerja sama dengan Balai Pelayanan Perlindungan Pekerja Migran Indonesia berikan edukasi kepada calon pekerja migran Indonesia di wilayah Jawa Tengah.  Selengkapnya👇 https://www.beacukai.go.id/berita/bea-cukai-edukasi-calon-pekerja-migran-dalam-orientasi-pra-pemberangkatan.html,#BeaCukaiMakinBaik,4,4,3,0
3,https://twitter.com/beacukaiRI/status/1798287480531390629#m,"Kantor Wilayah @bcsulbagtara bekerja sama dengan @beacukaimanado & @beacukaibitung memusnahkan barang milik negara (BMN) hasil penindakan kepabeanan & cukai.  Pemusnahan dilakukan serentak di dua lokasi, yaitu di Bea Cukai Manado dan Bea Cukai Morowali.  https://www.beacukai.go.id/berita/pemusnahan-bmn-ilegal-senilai-rp2-9-miliar-oleh-bea-cukai-sulawesi-utara.html",#BeaCukaiMakinBaik,1,0,1,0
4,https://twitter.com/beacukaiRI/status/1798288309824930085#m,Bea Cukai Tanjungpinang laksanakan operasi pasar hasil tembakau bertajuk #GempurRokokIlegal bekerja sama dengan Subdenpom I/6-1 Tanjungpinang.  Operasi ini berlangsung selama tiga periode pada 6-24 Mei 2024 di bawah pengawasan @bctanjungpinang.  https://www.beacukai.go.id/berita/bea-cukai-tanjungpinang-berhasil-tegah-rokok-ilegal-senilai-rp559-juta.html,#BeaCukaiMakinBaik,2,2,1,0
5,https://twitter.com/beacukaiRI/status/1798582490862584164#m,Bea Cukai @bctanjungpinang fasilitasi gelaran Bintan Triathlon 2024 di Kawasan Pariwisata Lagoi pada 1-2 juni 2024.  Bintan Triathlon merupakan agenda pariwisata tahunan yang berbasis olahraga hasil kolaborasi Trifactor Asia & PT Bintan Resort Cakrawala.  https://www.beacukai.go.id/berita/dukungan-bea-cukai-tanjungpinang-untuk-agenda-internasional-bintan-triathlon-2024.html,#BeaCukaiMakinBaik,3,2,3,1
6,https://twitter.com/beacukaiRI/status/1798652681613119581#m,Bea Cukai gagalkan upaya penyelundupan lebih dari 15 juta batang rokok ilegal tanpa dilekati pita cukai yang diangkut kapal melalui perairan Aceh.   Simak infografis berikut ini untuk informasi selengkapnya👇🏻,#BeaCukaiMakinBaik,14,4,6,8
7,https://twitter.com/beacukaiRI/status/1798937819991388555#m,"Bea Cukai @bc_cikarang memusnahkan barang kena cukai (BKC) berupa rokok ilegal dan barang impor ilegal.  Pemusnahan 4.417.864 batang rokok ilegal senilai Rp2,1 miliar dilakukan di halaman Kantor Bea Cukai Cikarang, Kamis (30/05).  https://www.beacukai.go.id/berita/operasi-bea-cukai-cikarang-musnahkan-4-4-juta-batang-rokok-ilegal-senilai-rp2-1-miliar.html",#BeaCukaiMakinBaik,8,0,1,4
8,https://twitter.com/beacukaiRI/status/1799036450870358328#m,"23,5 ton ikan kerapu hidup berhasil diekspor ke Hongkong oleh PT Rajawali Laut Timur, eksportasi tersebut dilayani oleh Bea Cukai Ambon.  Realisasi ekspor ikan kerapu hidup ini telah menyumbang devisa lebih dari 7 miliar rupiah.",#BeaCukaiMakinBaik,3,3,3,10
9,https://twitter.com/T0M5helby/status/1791482473140146361#m,"Ini baru berita baik. ""Bea Cukai akan dibenahi""  Berita buruknya, yang mau ngebenahi si Joko Widodo  🥱🤌",Tommy Shelby,2624,84,622,619
